authors	title	genre	summary
Rainbow Rowell	Carry On	fantasy	Simon Snow is the worst Chosen One who's ever been chosen.That's what his roommate, Baz, says. And Baz might be evil and a vampire and a complete git, but he's probably right.Half the time, Simon can't even make his wand work, and the other half, he starts something on fire. His mentor's avoiding him, his girlfriend broke up with him, and there's a magic-eating monster running around, wearing Simon's face. Baz would be having a field day with all this, if he were here — it's their last year at the Watford School of Magicks, and Simon's infuriating nemesis didn't even bother to show up.   Carry On - The Rise and Fall of Simon Snow  is a ghost story, a love story and a mystery. It has just as much kissing and talking as you'd expect from a Rainbow Rowell story - but far, far more monsters.
Jodi Ellen Malpas	Beneath This Man (This Man, #2)	romance	Book #2 of the erotic This Man trilogyJesse Ward drowned her with his intensity and blindsided her with his passion, but he kept her away from his dark secrets and broken soul. Leaving him was the only way Ava O'Shea could survive. She should have known that Jesse Ward is impossible to escape--and now he's back in her life, determined to remind her of the sensual pleasures they had shared. Ava is equally determined to get at the truth beneath this man's steely exterior. That means letting herself get close to the Lord of the Manor once more. And it's exactly where Jesse wants her--within touching distance...
Mark  Lawrence	Prince of Thorns (The Broken Empire, #1)	fantasy	Before the thorns taught me their sharp lessons and bled weakness from me I had but one brother, and I loved him well. But those days are gone and what is left of them lies in my mother's tomb. Now I have many brothers, quick with knife and sword, and as evil as you please. We ride this broken empire and loot its corpse. They say these are violent times, the end of days when the dead roam and monsters haunt the night. All that's true enough, but there's something worse out there, in the dark. Much worse.From being a privileged royal child, raised by a loving mother, Jorg Ancrath has become the Prince of Thorns, a charming, immoral boy leading a grim band of outlaws in a series of raids and atrocities. The world is in chaos: violence is rife, nightmares everywhere. Jorg has the ability to master the living and the dead, but there is still one thing that puts a chill in him. Returning to his father's castle Jorg must confront horrors from his childhood and carve himself a future with all hands turned against him.Mark Lawrence's debut novel tells a tale of blood and treachery, magic and brotherhood and paints a compelling and brutal, and sometimes beautiful, picture of an exceptional boy on his journey toward manhood and the throne.
Kurt Vonnegut Jr.	Galápagos	classics	Galápagos takes the reader back one million years, to A.D. 1986. A simple vacation cruise suddenly becomes an evolutionary journey. Thanks to an apocalypse, a small group of survivors stranded on the Galápagos Islands are about to become the progenitors of a brave, new, and totally different human race. In this inimitable novel, America’s master satirist looks at our world and shows us all that is sadly, madly awry—and all that is worth saving.
Michael Crichton	Next	thriller	Welcome to our genetic world.Fast, furious, and out of control.This is not the world of the future --- it's the world right now.Is a loved one missing some body parts? Are blondes becoming extinct? Is everyone at your dinner table of the same species? Humans and chimpanzees differ in only 400 genes; is that why an adult human being resembles a chimp fetus? And should that worry us? There's a new genetic cure for drug addiction --- is it worse than the disease?We live in a time of momentous scientific leaps; a time when it's possible to sell our eggs and sperm online for thousands of dollars; test our spouses for genetic maladies and even frame someone for a genetic crime.We live in a time when one fifth of all our genes are owned by someone else, and an unsuspecting person and his family can be pursued cross-country because they happen to have certain valuable genes within their chromosomes ...Devilishly clever, Next blends fact and fiction into a breathless tale of a new world where nothing is what it seems, and a set of new possibilities can open at every turn. Next challenges our sense of reality and notions of morality. Balancing the comic and bizarre with the genuinely frightening and disturbing, Next shatters our assumptions, and reveals shocking new choices where we least expect.The future is closer than you think. Get used to it.
Nancy Farmer	The House of the Scorpion (Matteo Alacran, #1)	young_adult	"With undertones of vampires, Frankenstein, dragons' hoards, and killing fields, Matt's story turns out to be an inspiring tale of friendship, survival, hope, and transcendence. A must-read for teenage fantasy fans.At his coming-of-age party, Matteo Alacrán asks El Patrón's bodyguard, ""How old am I?...I know I don't have a birthday like humans, but I was born."" ""You were harvested,"" Tam Lin reminds him. ""You were grown in that poor cow for nine months and then you were cut out of her."" To most people around him, Matt is not a boy, but a beast. A room full of chicken litter with roaches for friends and old chicken bones for toys is considered good enough for him. But for El Patrón, lord of a country called Opium—a strip of poppy fields lying between the U.S. and what was once called Mexico—Matt is a guarantee of eternal life. El Patrón loves Matt as he loves himself for Matt is himself. They share identical DNA."
Nora Roberts	Blue Dahlia (In the Garden, #1)	romance	Recently widowed Stella Rothschild has found a new love in Logan Kitridge. But there is someone who isn't happy about Stella's growing feelings for Logan: the Harper Bride, an unidentified woman whose grief and rage have kept her spirit alive long past the death of her body.
D.H. Lawrence, Doris Lessing, Chester Brown	Lady Chatterley's Lover	classics	Lawrence's frank portrayal of an extramarital affair and the explicit sexual explorations of it's central characters caused this controversial book, now considered a masterpiece, to be banned as pornography until 1960.
Lev Grossman	The Magician King (The Magicians, #2)	fantasy	Return to Fillory in the riveting sequel to The New York Times bestseller and literary phenomenon of 2009--The Magicians.The Magicians was praised as a triumph by readers and critics of both mainstream and fantasy literature. Now Grossman takes us back to Fillory, where the Brakebills graduates have fled the sorrows of the mundane world, only to face terrifying new challenges.Quentin and his friends are now the kings and queens of Fillory, but the days and nights of royal luxury are starting to pall. After a morning hunt takes a sinister turn, Quentin and his old friend Julia charter a magical sailing ship and set out on an errand to the wild outer reaches of their kingdom. Their pleasure cruise becomes an adventure when the two are unceremoniously dumped back into the last place Quentin ever wants to see: his parent's house in Chesterton, Massachusetts. And only the black, twisted magic that Julia learned on the streets can save them.The Magician King is a grand voyage into the dark, glittering heart of magic, an epic quest for the Harry Potter generation. It also introduces a powerful new voice, that of Julia, whose angry genius is thrilling. Once again Grossman proves that he is the cutting edge of literary fantasy.
George S. Clason	The Richest Man in Babylon	classics	Beloved by millions, this timeless classic holds the key to all you desire and everything you wish to accomplish. This is the book that reveals the secret to personal wealth. The Success Secrets of the Ancients—An Assured Road to Happiness and Prosperity Countless readers have been helped by the famous “Babylonian parables,” hailed as the greatest of all inspirational works on the subject of thrift, financial planning, and personal wealth. In language as simple as that found in the Bible, these fascinating and informative stories set you on a sure path to prosperity and its accompanying joys. Acclaimed as a modern-day classic, this celebrated bestseller offers an understanding of—and a solution to—your personal financial problems that will guide you through a lifetime. This is the book that holds the secrets to keeping your money—and making more. The Richest Man in BabylonRead it and recommend it to loved ones—and get on the road to riches.MORE THAN TWO MILLION BOOKS SOLD
Jodi Picoult	Salem Falls	romance	Jack buries his past, content to become the mysterious stranger who has appeared out of the blue. Addie, desperate for answers, must look into her heart -- and into Jack's lies and shadowy secrets -- for evidence that will condemn or redeem the man she has come to love.When Jack St. Bride arrives by chance in the sleepy New England town of Salem Falls, he decides to reinvent himself. Tall, blond, and handsome, Jack was once a beloved teacher and soccer coach at a girls' prep school -- until a student's crush sparked a powder keg of accusation and robbed him of his reputation. Now, working for minimum wage washing dishes for Addie Peabody at the Do-Or-Diner, Jack buries his past, content to become the mysterious stranger who has appeared out of the blue. With ghosts of her own haunting her, Addie Peabody is as cautious around men as Jack St. Bride is around women. But as this unassuming stranger steps smoothly into the diner's daily routine, she finds him fitting just as comfortably inside her heart -- and slowly, a gentle, healing love takes hold between them. Yet planting roots in Salem Falls may prove fateful for Jack. Amid the white-painted centuries-old churches, a quartet of bored, privileged teenage girls have formed a coven that is crossing the line between amusement and malicious intent. Quick to notice the attractive new employee at Addie's diner, the girls turn Jack's world upside down with a shattering allegation that causes history to repeat itself -- and forces Jack to proclaim his innocence once again. Suddenly nothing in Salem Falls is as it seems: a safe haven turns dangerous, an innocent girl meets evil face-to-face, a dishwasher with a Ph.D. is revealed to be an ex-con. As Jack's hidden past catches up with him, the seams of this tiny town begin to tear, and the emerging truth becomes a slippery concept written in shades of gray. Now Addie, desperate for answers, must look into her heart -- and into Jack's lies and shadowy secrets -- for evidence that will condemn or redeem the man she has come to love.
David Eddings, Leigh Eddings	Belgarath the Sorcerer	fantasy	Bestselling authors David and Leigh Eddings welcome readers back to the time before The Belgariad and The Malloreon series. Join them as they chronicle that fateful conflict between two mortally opposed Destinies, in a monumental war of men and kings and Gods.When the world was young and Gods still walked among their mortal children, a headstrong orphan boy set out to explore the world. Thus began the extraordinary adventures that would mold that youthful vagabond into a man, and the man into the finely honed instrument of Prophecy known to all the world as Belgarath the Sorcerer.Then came the dark day when the Dark God Torak split the world asunder, and the God Aldur and his disciples began their monumental labor to set Destiny aright. Foremost among their number was Belgarath. His ceaseless devotion was foredoomed to cost him that which he held most dear--even as his loyal service would extend through echoing centuries of loss, of struggle, and of ultimate triumph.
Frank Herbert	The Great Dune Trilogy	fantasy	Herbert's evocative, epic tales are set on the desert planet Arrakis, the focus for a complex political and military struggle with galaxy-wide repercussions. This volume includes the titles 'Dune', 'Dune Messiah' and 'Children of Dune'.
Sarah Addison Allen	Garden Spells (Waverley Family, #1)	fantasy	The women of the Waverley family -- whether they like it or not -- are heirs to an unusual legacy, one that grows in a fenced plot behind their Queen Anne home on Pendland Street in Bascom, North Carolina. There, an apple tree bearing fruit of magical properties looms over a garden filled with herbs and edible flowers that possess the power to affect in curious ways anyone who eats them. For nearly a decade, 34-year-old Claire Waverley, at peace with her family inheritance, has lived in the house alone, embracing the spirit of the grandmother who raised her, ruing her mother's unfortunate destiny and seemingly unconcerned about the fate of her rebellious sister, Sydney, who freed herself long ago from their small town's constraints. Using her grandmother's mystical culinary traditions, Claire has built a successful catering business -- and a carefully controlled, utterly predictable life -- upon the family's peculiar gift for making life-altering delicacies: lilac jelly to engender humility, for instance, or rose geranium wine to call up fond memories. Garden Spells reveals what happens when Sydney returns to Bascom with her young daughter, turning Claire's routine existence upside down. With Sydney's homecoming, the magic that the quiet caterer has measured into recipes to shape the thoughts and moods of others begins to influence Claire's own emotions in terrifying and delightful ways. As the sisters reconnect and learn to support one another, each finds romance where she least expects it, while Sydney's child, Bay, discovers both the safe home she has longed for and her own surprising gifts. With the help of their elderly cousin Evanelle, endowed with her own uncanny skills, the Waverley women redeem the past, embrace the present, and take a joyful leap into the future.
Jim Butcher	Ghost Story (The Dresden Files,  #13)	fantasy	When we last left the mighty wizard detective Harry Dresden, he wasn't doing well. In fact, he had been murdered by an unknown assassin.But being dead doesn't stop him when his friends are in danger. Except now he has no body, and no magic to help him. And there are also several dark spirits roaming the Chicago shadows who owe Harry some payback of their own.To save his friends—and his own soul—Harry will have to pull off the ultimate trick without any magic...
Frederick Douglass	Narrative of the Life of Frederick Douglass	classics	Born a slave in 1818 on a plantation in Maryland, Douglass taught himself to read and write. In 1845, seven years after escaping to the North, he published Narrative, the first of three autobiographies. This book calmly but dramatically recounts the horrors and the accomplishments of his early years—the daily, casual brutality of the white masters; his painful efforts to educate himself; his decision to find freedom or die; and his harrowing but successful escape.An astonishing orator and a skillful writer, Douglass became a newspaper editor, a political activist, and an eloquent spokesperson for the civil rights of African Americans. He lived through the Civil War, the end of slavery, and the beginning of segregation. He was celebrated internationally as the leading black intellectual of his day, and his story still resonates in ours.
Greg Behrendt, Liz Tuccillo	He's Just Not That Into You: The No-Excuses Truth to Understanding Guys	romance	Everyone can use a daily wake-up call.Now in bite-size mantras, the abridged empathetic wit and wisdom of the number one New York Times bestseller He's Just Not That Into You will recharge and inspire your dating outlook one wake-up call at a time. For ages women have come together over coffee, cocktails, or late-night phone chats to analyze the puzzling behavior of men. Greg Behrendt and Liz Tuccillo are here to say that despite good intentions you're wasting your time. Men are not complicated, although they'd like you to think they are. And there are no mixed messages. He's Just Not That Into You based on a popular episode of Sex and the City educates otherwise smart women on how to tell when a guy just doesn't like them enough, so they can stop wasting time making excuses for a dead-end relationship. This book knows you're a beautiful, smart, funny woman who deserves better.
David Eddings	Pawn of Prophecy (The Belgariad, #1)	fantasy	A magnificent epic set against a history of seven thousand years of the struggles of Gods and Kings and men - of strange lands and events - of fate and a prophecy that must be fulfilled! THE BELGARIADLong ago, so the Storyteller claimed, the evil God Torak sought dominion and drove men and Gods to war. But Belgarath the Sorcerer led men to reclaim the Orb that protected men of the West. So long as it lay at Riva, the prophecy went, men would be safe.But that was only a story, and Garion did not believe in magic dooms, even though the dark man without a shadow had haunted him for years. Brought up on a quiet farm by his Aunt Pol, how could he know that the Apostate planned to wake dread Torak, or that he would be led on a quest of unparalleled magic and danger by those he loved - but did not know? For a while his dreams of innocence were safe, untroubled by knowledge of his strange heritage. For a little while... THUS BEGINS BOOK ONE OF THE BELGARIAD'
Janet Evanovich	Lean Mean Thirteen (Stephanie Plum, #13)	romance	New secrets, old flames, and hidden agendas are about to send bounty hunter Stephanie Plum on her most outrageous adventure yet!MISTAKE #1Dickie Orr. Stephanie was married to him for about fifteen minutes before she caught him cheating on her with her arch-nemesis Joyce Barnhardt. Another fifteen minutes after that Stephanie filed for divorce, hoping to never see either one of them again.MISTAKE #2Doing favors for super bounty hunter Carlos Manoso (a.k.a. Ranger). Ranger needs her to meet with Dickie and find out if he's doing something shady. Turns out, he is. Turns out, he's also back to doing Joyce Barnhardt. And it turns out Ranger's favors always come with a price...MISTAKE #3Going completely nutso while doing the favor for Ranger, and trying to apply bodily injury to Dickie in front of the entire office. Now Dickie has disappeared and Stephanie is the natural suspect in his disappearance. Is Dickie dead? Can he be found? And can Stephanie Plum stay one step ahead in this new, dangerous game? Joe Morelli, the hottest cop in Trenton, NJ is also keeping Stephanie on her toes-and he may know more than he's saying about many things in Stephanie's life. It's a cat-and-mouse game for Stephanie Plum, where the ultimate prize might be her life.With Janet Evanovich's flair for hilarious situations, breathtaking action, and unforgettable characters, LEAN MEAN THIRTEEN shows why no one can beat Evanovich for blockbuster entertainment.
Rudyard Kipling, Alev Lytle Croutier	The Jungle Books	classics	The Jungle Books can be regarded as classic stories told by an adult to children. But they also constitute a complex literary work of art in which the whole of Kipling's philosophy of life is expressed in miniature. They are best known for the 'Mowgli' stories; the tale of a baby abandoned and brought up by wolves, educated in the ways and secrets of the jungle by Kaa the python, Baloo the bear, and Bagheera the black panther. The stories, a mixture of fantasy, myth, and magic, are underpinned by Kipling's abiding preoccupation with the theme of self-discovery, and the nature of the 'Law'.
Rachel Caine	Glass Houses (The Morganville Vampires, #1)	young_adult	From the author of the popular Weather Warden series comes the debut of an exciting new series set in Morganville, Texas, where you would be well advised to avoid being out after dark.College freshman Claire Danvers has had enough of her nightmarish dorm situation. When Claire heads off-campus, the imposing old house where she finds a room may not be much better. Her new roommates don't show many signs of life, but they'll have Claire's back when the town's deepest secrets come crawling out, hungry for fresh blood. Will she be able to face the town's terror or will she drown like everyone else?
Peter David, Robin Furth, Jae Lee, Richard Isanove, Stephen King	The Dark Tower: The Gunslinger Born	fantasy	'The man in black fled across the desert, and the gunslinger followed.' With those words, millions of readers were introduced to Stephen King's Roland ' an implacable gunslinger in search of the enigmatic Dark Tower, powering his way through a dangerous land filled with ancient technology and deadly magic. Now, in a comic book personally overseen by King himself, Roland's past is revealed! Sumptuously drawn by Jae Lee and Richard Isanove, adapted by long-time Stephen King expert, Robin Furth (author of Stephen King's The Dark Tower: A Concordance), and scripted by New York Times Bestseller Peter David, this series delves in depth into Roland's origins ' the perfect introduction to this incredibly realized world; while long-time fans will thrill to adventures merely hinted at in the novels. Be there for the very beginning of a modern classic of fantasy literature!Collecting DARK TOWER: THE GUNSLINGER BORN #1-7.
Kate Morton	The Lake House	romance	Living on her family’s idyllic lakeside estate in Cornwall, England, Alice Edevane is a bright, inquisitive, innocent, and precociously talented sixteen-year-old who loves to write stories. But the mysteries she pens are no match for the one her family is about to endure…One midsummer’s eve, after a beautiful party drawing hundreds of guests to the estate has ended, the Edevanes discover that their youngest child, eleven-month-old Theo, has vanished without a trace. What follows is a tragedy that tears the family apart in ways they never imagined.Decades later, Alice is living in London, having enjoyed a long successful career as an author. Theo’s case has never been solved, though Alice still harbors a suspicion as to the culprit. Miles away, Sadie Sparrow, a young detective in the London police force, is staying at her grandfather’s house in Cornwall. While out walking one day, she stumbles upon the old estate—now crumbling and covered with vines, clearly abandoned long ago. Her curiosity is sparked, setting off a series of events that will bring her and Alice together and reveal shocking truths about a past long gone...yet more present than ever.
Jay Crownover, Charlotte Connan de vries	Rule (Marked Men, #1)	romance	Opposites in every way . . . except the one that matters Shaw Landon loved Rule Archer from the moment she laid eyes on him. Rule is everything a straight-A pre-med student like Shaw shouldn’t want—and the only person she’s never tried to please. She isn’t afraid of his scary piercings and tattoos or his wild attitude. Though she knows that Rule is wrong for her, her heart just won’t listen.To a rebel like Rule Archer, Shaw Landon is a stuck-up, perfect princess-and his dead twin brother’s girl. She lives by other people’s rules; he makes his own. He doesn’t have time for a good girl like Shaw-even if she’s the only one who can see the person he truly is.But a short skirt, too many birthday cocktails, and spilled secrets lead to a night neither can forget. Now, Shaw and Rule have to figure out how a girl like her and a guy like him are supposed to be together without destroying their love . . . or each other.
Haruki Murakami, Philip Gabriel	South of the Border, West of the Sun	romance	Alternate cover edition here.Growing up in the suburbs of post-war Japan, it seemed to Hajime that everyone but him had brothers and sisters. His sole companion was Shimamoto, also an only child. Together they spent long afternoons listening to her father's record collection. But when his family moved away, the two lost touch. Now Hajime is in his thirties. After a decade of drifting he has found happiness with his loving wife and two daughters, and success running a jazz bar. Then Shimamoto reappears. She is beautiful, intense, enveloped in mystery. Hajime is catapulted into the past, putting at risk all he has in the present.
Kurt Vonnegut Jr.	Mother Night	classics	Librarian note: Alternate cover edition for this ISBN can be found here.Mother Night is a daring challenge to our moral sense. American Howard W. Campbell, Jr., a spy during World War II, is now on trial in Israel as a Nazi war criminal. But is he really guilty? In this brilliant book rife with true gallows humor, Vonnegut turns black and white into a chilling shade of gray with a verdict that will haunt us all.
Edgar Allan Poe, Stephen Marlowe	The Fall of the House of Usher and Other Tales	classics	"The eerie tales of Edgar Allan Poe remain among the most brilliant and influential works in American literature. Some of the celebrated tales contained in this unique volume include: the world's first two detective stories -- ""The Murders in the Rue Morgue"" and ""The Purloined Letter""; and three stories sure to make a reader's hair stand on end -- ""The Cask of Amontillado"", ""The Tell-Tale Heart"", and ""The Masque of the Red Death"".-- Includes a New Introduction by Stephen Marlowe, author of The Memoirs of Christopher Columbus and The Lighthouse at the End of the World-- The Signet Classic Edition of ""The Fall of the House of Usher"" has over 250,000 copies in print!"
Louise Fitzhugh	Harriet the Spy (Harriet the Spy #1)	young_adult	"Harriet the Spy has a secret notebook that she fills with utterly honest jottings about her parents, her classmates, and her neighbors. Every day on her spy route she ""observes"" and notes down anything of interest to her:I BET THAT LADY WITH THE CROSS-EYE LOOKS IN THE MIRROR AND JUST FEELS TERRIBLE.PINKY WHITEHEAD WILL NEVER CHANGE. DOES HIS MOTHER HATE HIM? IF I HAD HIM I'D HATE HIM.IF MARION HAWTHORNE DOESN'T WATCH OUT SHE'S GOING TO GROW UP INTO A LADY HITLER.But when Harriet's notebook is found by her schoolmates, their anger and retaliation and Harriet's unexpected responses explode in a hilarious way."
Sarah Waters	The Paying Guests	romance	It is 1922, and London is tense. Ex-servicemen are disillusioned; the out-of-work and the hungry are demanding change. And in South London, in a genteel Camberwell villa—a large, silent house now bereft of brothers, husband, and even servants—life is about to be transformed, as impoverished widow Mrs. Wray and her spinster daughter, Frances, are obliged to take in lodgers.With the arrival of Lilian and Leonard Barber, a modern young couple of the “clerk class,” the routines of the house will be shaken up in unexpected ways. Little do the Wrays know just how profoundly their new tenants will alter the course of Frances’s life—or, as passions mount and frustration gathers, how far-reaching, and how devastating, the disturbances will be.
Dean Koontz	Forever Odd (Odd Thomas, #2)	thriller	I see dead people. But then, by God, I do something about it.Odd Thomas never asked for his special ability. He's just an ordinary guy trying to live a quiet life in the small desert town of Pico Mundo. Yet he feels an obligation to do right by his otherworldly confidants, and that's why he's won hearts on both sides of the divide between life and death. But when a childhood friend disappears, Odd discovers something worse than a dead body and embarks on a heart-stopping battle of will and wits with an enemy of exceptional cunning. In the hours to come there can be no innocent bystanders, and every sacrifice can tip the balance between despair and hope. You're invited on an unforgettable journey through a world of terror and transcendence to wonders beyond imagining. And you can have no better guide than Odd Thomas.
Marian Keyes	Sushi for Beginners	romance	"Lisa EdwardsThis Prada-wearing magazine editor thinks her life is over when her ""fabulous"" new job turns out to be a deportation to Dublin to launch Colleen magazine. The only saving grace is that her friends aren't there to witness her downward spiral. Might her new boss, the disheveled and moody Jack Devine, save her from a fate worse than hell?Ashling KennedyAshling, Colleen's assistant editor, is an award-winning worrier, increasingly aware that something fundamental is missing from her life -- apart from a boyfriend and a waistline.Clodagh ""Princess"" KellyAshling's best friend, Clodagh, lives the domestic dream in a suburban castle. So why, lately, has she had the recurring urge to kiss a frog -- or sleep with a frog, if truth be told? As these three women search for love, success, and happiness, they will discover that if you let things simmer under the surface for too long, sooner or later they'll boil over."
Louise Penny	Still Life (Chief Inspector Armand Gamache, #1)	thriller	As the early morning mist clears on Thanksgiving Sunday, the homes of Three Pines come to life - all except one…To locals, the village is a safe haven. So they are bewildered when a well-loved member of the community is found lying dead in the maple woods. Surely it was an accident - a hunter's arrow gone astray. Who could want Jane Neal dead?In a long and distinguished career with the Sûreté du Quebec, Chief Inspector Armand Gamache has learned to look for snakes in Eden. Gamache knows something dark is lurking behind the white picket fences, and if he watches closely enough, Three Pines will begin to give up its secrets…
Marian Keyes	Watermelon (Walsh Family, #1)	romance	Claire has everything she ever wanted: a husband she adores, a great apartment, a good job. Then, on the day she gives birth to their first baby, James informs her that he's leaving her. Claire is left with a newborn daughter, a broken heart, and a postpartum body that she can hardly bear to look at.She decides to go home to Dublin. And there, sheltered by the love of a quirky family, she gets better. So much so, in fact, that when James slithers back into her life, he's in for a bit of a surprise.
John Ajvide Lindqvist	Let the Right One In	fantasy	It is autumn 1981 when the inconceivable comes to Blackeberg, a suburb in Sweden. The body of a teenage boy is found, emptied of blood, the murder rumored to be part of a ritual killing. Twelve-year-old Oskar is personally hoping that revenge has come at long last—revenge for the bullying he endures at school, day after day.But the murder is not the most important thing on his mind. A new girl has moved in next door—a girl who has never seen a Rubik's Cube before, but who can solve it at once. There is something wrong with her, though, something odd. And she only comes out at night....
Pittacus Lore	The Rise of Nine (Lorien Legacies, #3)	young_adult	The Rise of Nine is the next thrilling instalment in the gripping Lorien Legacies series by Pittacus Lore.'Number Four is a hero for this generation' Michael Bay, director of Transformers***Until I met John Smith, Number Four, I'd been on the run alone, hiding and fighting to stay alive. Together we are much more powerful. But it could only last so long before we had to separate to find the others . . .I went to Spain to find Seven, and I found even more, including a tenth member of the Garde who escaped from Lorien alive. Ella is younger than the rest of us, but just as brave. Now we're looking for the others - including John.But so are they.I am Number Six. To finish what they started, they'll have to fight us first.
Edgar Allan Poe, Benjamin F. Fisher	Essential Tales and Poems	classics	"The Essential Tales and Poems of Edgar Allan Poe, by Edgar Allan Poe, is part of the Barnes & Noble Classics series, which offers quality editions at affordable prices to the student and the general reader, including new scholarship, thoughtful design, and pages of carefully crafted extras. Creator of the modern detective story, innovative architect of the horror genre, and a poet of extraordinary musicality, Edgar Allan Poe remains one of America's most popular and influential writers. His tales and poems brim with psychological depth, almost painful intensity, and unexpected—and surprisingly modern—flashes of dark humor and irony.This anthology offers an exceptionally generous selection of Poe's short stories. It includes his famed masterpieces, such as ""The Murders in the Rue Morgue"" and ""The Purloined Letter,"" featuring Poe's great detective, Dupin; his insightful studies of madness ""The Black Cat"" and ""The Tell-Tale Heart""; ""The Gold-Bug,"" his delightful exercise in ""code-breaking""; and important but lesser-known tales, such as ""Bon-Bon,"" ""The Assignation,"" and ""King Pest."" Also included are some of Poe's most beloved poems, haunting lyrics of love and loss, such as ""Annabel Lee,"" nightmare phantasmagories such as ""The Raven,"" and his grand experiment in translating sound into words, ""The Bells.""Benjamin F. Fisher, Professor of English, University of Mississippi, is a longtime enthusiast of the works of Poe. He has published books, articles, and notes about Poe, and in American, Victorian, and Gothic studies, and serves on editorial boards for several professional journals. He has also been acclaimed for outstanding teaching."
Ann Brashares	The Second Summer of the Sisterhood (Sisterhood, #2)	young_adult	With a bit of last summer's sand in the pockets, the Traveling Pants and the Sisterhood that wears them embark on their second summer together.Bridget: Impulsively sets off for Alabama, wanting to both confront and avoid her demons... but she can't keep the truth from the Pants.Carmen: Is concerned that her mother is making a fool of herself over a man. When she discovers that her mom borrowed the Pants to wear on a date, she's certain of it.Tibby: Makes a movie she'd like to be proud of... while the Pants keep alive the memory of a friend who could see beyond appearances.Lena: Has spent months hiding from love... only to find that she's at last ready to put on the Pants and let them lead her where they will.
Dean Koontz	Phantoms	thriller	“Phantoms is gruesome and unrelenting…It’s well realized, intelligent, and humane.”—Stephen KingThey found the town silent, apparently abandoned. Then they found the first body, strangely swollen and still warm. One hundred fifty were dead, 350 missing. But the terror had only begun in the tiny mountain town of Snowfield, California.At first they thought it was the work of a maniac. Or terrorists. Or toxic contamination. Or a bizarre new disease.But then they found the truth. And they saw it in the flesh. And it was worse than anything any of them had ever imagined...
Morgan Matson	Amy & Roger's Epic Detour	young_adult	When you're on a road trip, life is all about the detours. . . . Amy Curry is having a terrible year. Her mother has decided to move across the country and needs Amy to get their car from California to Connecticut. There's just one small problem: Since her father died this past spring, Amy hasn't been able to get behind the wheel. Enter Roger, the nineteen-year-old son of an old family friend, who turns out to be unexpectedly cute ... and dealing with some baggage of his own. Meeting new people and coming to terms with her father's death were not what Amy had planned on this trip. And traveling the Loneliest Road in America, seeing the Colorado mountains, crossing the Kansas plains, and visiting diners, dingy motels, and Graceland were definitely not on the itinerary. But as they drive, Amy finds that the people you least expected are the ones you may need the most—and that sometimes you have to get lost in order to find your way home.
Oswald Chambers	My Utmost for His Highest	classics	"For nearly seventy-five years, countless millions of Christians the world over have trusted the spiritual companionship of Oswald Chambers's daily devotional, ""My Utmost for His Highest."" These brief scripture-based readings--by turns comforting and challenging--will draw you into God's presence and form you as a disciple of the Risen Lord. You'll treasure their insight, still fresh and vital. And you'll discover what it means to offer God your very best for His greatest purpose--to truly offer Him your utmost for His highest. This edition includes Chambers's text, updated by editor James Reimann, along with helpful subject and scripture indexes."
Terry Pratchett	The Wee Free Men (Discworld, #30; Tiffany Aching, #1)	fantasy	"Librarian's Note: For an alternate cover edition of the same ISBN, click here.""Another world is colliding with this one,"" said the toad. ""All the monsters are coming back.""""Why?"" said Tiffany.""There's no one to stop them.""There was silence for a moment.Then Tiffany said, ""There's me.""Armed only with a frying pan and her common sense, Tiffany Aching, a young witch-to-be, is all that stands between the monsters of Fairyland and the warm, green Chalk country that is her home. Forced into Fairyland to seek her kidnapped brother, Tiffany allies herself with the Chalk's local Nac Mac Feegle - aka the Wee Free Men - a clan of sheep-stealing, sword-wielding, six-inch-high blue men who are as fierce as they are funny. Together they battle through an eerie and ever-shifting landscape, fighting brutal flying fairies, dream-spinning dromes, and grimhounds - black dogs with eyes of fire and teeth of razors - before ultimately confronting the Queen of the Elves, absolute ruler of a world in which reality intertwines with nightmare. And in the final showdown, Tiffany must face her cruel power alone...In a riveting narrative that is equal parts suspense and humor, Carnegie Medalist Terry Pratchett returns to his internationally popular Discworld with a breathtaking tale certain to leave fans, new and old, enthralled."
Diana Gabaldon	Written in My Own Heart's Blood (Outlander, #8)	romance	It is June 1778, and the world seems to be turning upside-down. The British Army is withdrawing from Philadelphia, with George Washington in pursuit, and for the first time, it looks as if the rebels might actually win. But for Claire Fraser and her family, there are even more tumultuous revolutions that have to be accommodated.Her former husband, Jamie, has returned from the dead, demanding to know why in his absence she married his best friend, Lord John Grey. Lord John's son, the ninth Earl of Ellesmere, is no less shocked to discover that his real father is actually the newly resurrected Jamie Fraser, and Jamie's nephew Ian Murray discovers that his new-found cousin has an eye for the woman who has just agreed to marry him.And while Claire is terrified that one of her husbands may be about to murder the other, in the 20th century her descendants face even more desperate turns of events. Her daughter Brianna is trying to protect her son from a vicious criminal with murder on his mind, while her husband Roger has disappeared into the past . . .
